<PAD>,0
<EOS>,1
<UNK>,2
<GO>,3
well,4
i,5
thought,6
we,7
would,8
start,9
with,10
if,11
that,12
is,13
okay,14
you,15
not,16
the,17
hacking,18
and,19
gagging,20
spitting,21
part,22
please,23
then,24
how,25
about,26
try,27
out,28
some,29
french,30
cuisine,31
saturday,32
night,33
forget,34
it,35
seems,36
like,37
she,38
could,39
get,40
a,41
date,42
easy,43
enough,44
shame,45
let,46
me,47
see,48
what,49
can,50
do,51
right,52
are,53
ready,54
for,55
quiz,56
there's,57
someone,58
think,59
might,60
be,61
counted,62
on,63
to,64
help,65
my,66
cause,67
thug,68
obviously,69
failing,70
ever,71
going,72
our,73
sweet,74
deep,75
conditioner,76
every,77
two,78
days,79
never,80
use,81
without,82
attachment,83
really,84
wanna,85
go,86
but,87
cannot,88
unless,89
sister,90
goes,91
am,92
working,93
does,94
seem,95
him,96
lesbian,97
no,98
found,99
picture,100
of,101
leto,102
in,103
one,104
her,105
drawers,106
so,107
pretty,108
sure,109
harboring,110
kind,111
guy,112
likes,113
ones,114
who,115
knows,116
all,117
have,118
heard,119
say,120
dip,121
before,122
dating,123
smokes,124
believe,125
share,126
an,127
art,128
instructor,129
was,130
wanted,131
did,132
had,133
crap,134
this,135
endless,136
blonde,137
boring,138
myself,139
thank,140
god,141
hear,142
more,143
story,144
your,145
good,146
stuff,147
real,148
fear,149
wearing,150
hope,151
they,152
he,153
oily,154
or,155
dry,156
combination,157
know,158
different,159
gentleman,160
sometimes,161
wonder,162
guys,163
supposed,164
want,165
actually,166
give,167
up,168
private,169
line,170
joey,171
home,172
until,173
queen,174
harry,175
gay,176
cruise,177
will,178
uniform,179
hi,180
concentrating,181
awfully,182
hard,183
considering,184
gym,185
class,186
deal,187
',188
t,189
kat,190
nowhere,191
daddy,192
at,193
least,194
bra,195
means,196
gigglepuss,197
playing,198
club,199
skunk,200
oh,201
why,202
bothering,203
ask,204
bogey,205
party,206
freak,207
torture,208
suck,209
normal,210
too,211
busy,212
listening,213
bitches,214
need,215
prozac,216
sucked,217
shakespeare,218
maybe,219
yeah,220
friend,221
boyfriend,222
guess,223
since,224
allowed,225
should,226
over,227
dead,228
now,229
any,230
social,231
advice,232
from,233
welcome,234
care,235
firm,236
believer,237
doing,238
something,239
own,240
reasons,241
else,242
s,243
wish,244
luxury,245
only,246
sophomore,247
got,248
asked,249
prom,250
because,251
won,252
hate,253
back,254
as,255
just,256
once,257
afterwards,258
told,259
anymore,260
pissed,261
broke,262
tell,263
make,264
mind,265
decisions,266
instead,267
helping,268
hold,269
hostage,270
stupid,271
repeat,272
mistakes,273
protecting,274
keep,275
locked,276
away,277
dark,278
experience,279
anything,280
experiences,281
bianca,282
always,283
